"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"1k1,1k2,10k1,10k2,R3,R5,R7","7","R","","","","","~"
"10uf2,47uf2","2","C","","","","","~"
"100uf2","1","C_Polarized","","","","","~"
"C1,C35,C40","3","100nf","","","","","~"
"C2,C3,C4,C24,C25,C26,C27,C28,C29,C30,C31","11","22nf","","","","","~"
"C5,C11","2","10u","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C6,C10","2","0.1u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C32","1","10uf","","","","","~"
"C33,C34,C39","3","4.7uf","","","","","~"
"C36,C37","2","220nf","","","","","~"
"C38,C41","2","20pf","","","","","~"
"D2,D3,D4","3","D","","","","","~"
"F3","1","Polyfuse","","","","","~"
"J1,J2,J3,J5","4","Screw_Terminal_01x02","","","","","~"
"J4","1","Conn_01x06_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J6","1","Jack-DC","","","","","~"
"J15,J16,J21,J22,J23","5","Screw_Terminal_01x01","","","","","~"
"J17,J18,J19,J20","4","Screw_Terminal_01x01","","","","custom:TerminalBlock_1x01_P5.08mm","~"
"K1","1","TQ2-L2-5V","","","","RELAY_TQ2_2C_PAN","TQ2-L2-5V"
"Q3,Q4","2","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R4,R6,R8","3","1k","","","","","~"
"R9,R12","2","4K7","","","","","~"
"R10,R11,R23,R24,R25,R26","6","1K","","","","","~"
"R18,R19,R27,R28","4","10k","","","","","~"
"R20,R21,R22","3","10","","","","","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","ESP32-C6-MINI-1","","","","RF_Module:ESP32-C6-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c6-mini-1_mini-1u_datasheet_en.pdf"
"U5","1","ADE7816ACPZ","","","","ADE7816ACPZ:QFN50P600X600X80-41N",""
"Y2","1","Crystal","","","","","~"
