Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Part Number
100uf2,1,C_Polarized,,,,Capacitor_SMD:C_0805_2012Metric,~,EEE-FK1V101P
"C1,C2,C4,C8,C10,C13,C22,C80,C84,C87,C90",11,100nf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B104KBCNNNC
"C5,C21,C24,C79",4,10uf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21A106KOQNNNE
C6,1,150pf,,,,Capacitor_SMD:C_0805_2012Metric,~,GRM1885C1H151JA01D
"C9,C50",2,47uf,,,,Capacitor_SMD:C_0805_2012Metric,~,GRM32ER61E476KE15
"C12,C57,C59,C60,C73",5,0.1u,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B104KBCNNNC
C51,1,470uf,,,,Capacitor_SMD:C_0805_2012Metric,~,EEE-FK1V471P
"C55,C78",2,1u,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B105KAFNNNE
C56,1,4.7u,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21A475KOQNNNE
"C58,C61",2,10u,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21A106KOQNNNE
"C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C76,C77",12,22nf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B223KBCNNNC
"C81,C83,C89",3,4.7uf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21A475KOQNNNE
"C82,C85",2,220nf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B224KBCNNNC
"C86,C92",2,1uf,,,,Capacitor_SMD:C_0805_2012Metric,~,CL21B105KAFNNNE
C88,1,100uf,,,,Capacitor_SMD:C_0805_2012Metric,~,EEE-FK1V101P
"C91,C93",2,20pf,,,,Capacitor_SMD:C_0805_2012Metric,~,GRM1885C1H200JA01D
D2,1,D_Schottky,,,,Diode_SMD:D_SMA,~,B5819W
"D5,D6,D12,D13",4,SS34,,,,Diode_SMD:D_SMA,https://www.vishay.com/docs/88751/ss32.pdf,SS34
D9,1,Green,,,,theftdetection:LEDC2012X120N,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/895/LTST-C170GKT.pdf,LTST-C170GKT
D10,1,Red,,,,theftdetection:LEDC2012X120N,https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf,LTST-C170GKT
D11,1,ESD9B5.0ST5G,,,,Diode_SMD:D_SOD-923,https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF,ESD9B5.0ST5G
F1,1,0ZCH0110AF2E,,,,theftdetection:FUSC3226X100N,https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zch-series.pdf,0ZCH0110AF2E
F3,1,Polyfuse,,,,Fuse:Fuse_1206_3216Metric,~,MF-R110
FL1,1,BLM21PG300SN1D,,,,theftdetection:BEADC2012X105N,,BLM21PG300SN1D
IC1,1,MP1584EN-LF-Z,,,,theftdetection:SOIC127P600X170-9N,,MP1584EN-LF-Z
J6,1,Jack-DC,,,,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,~,PJ-102A
J7,1,SS-52400-002,,,,theftdetection:BELFUSE_SS-52400-002,,SS-52400-002
"J14,J23",2,U.FL-R-SMT_01_,,,,theftdetection:HRS_U.FL-R-SMT_01_,,U.FL-R-SMT-1
